th,diffh1,xdiffh1,tdiffh1,diffh2,xdiffh2,tdiffh2,diffh3,xdiffh3,tdiffh3,diffh4,xdiffh4,tdiffh4,diffh5,xdiffh5,tdiffh5,ta,diffa1,xdiffa1,tdiffa1,diffa2,xdiffa2,tdiffa2,diffa3,xdiffa3,tdiffa3,diffa4,xdiffa4,tdiffa4,diffa5,xdiffa5,tdiffa5,hs,as
8,2,-1.799999999999999,8,-1,-1.8999999999999995,6,1,3.6000000000000005,-8,0,-3.9000000000000004,2,0,0.9000000000000004,0,16,-2,-1.5999999999999996,3,-1,-3.3000000000000007,-4,-1,-3.1000000000000005,-3,1,-6.3999999999999995,-4,-4,-4.200000000000001,0,0,1
3,0,3.6999999999999993,1,0,15.0,1,7,3.3,16,2,6.700000000000001,7,5,5.7,0,12,0,-0.8999999999999995,4,0,2.9000000000000004,-4,-1,3.0,-5,0,3.9000000000000004,-2,0,-7.699999999999999,0,2,2
10,4,4.800000000000001,-2,1,1.8999999999999995,-6,0,-0.09999999999999964,-13,0,-0.9000000000000004,-2,-5,-5.7,0,17,-2,-2.1000000000000005,-7,-2,-3.5,-3,0,4.999999999999999,-2,-2,-6.700000000000001,-7,0,-0.9000000000000004,0,0,1
13,2,1.5999999999999996,-3,-1,-4.800000000000001,-9,-1,1.0999999999999996,-10,0,0.9000000000000004,2,-2,-3.5999999999999996,0,14,-1,4.1,-10,3,-1.0999999999999996,-13,-3,0.7999999999999998,-10,-1,6.3999999999999995,4,-1,-1.3000000000000003,0,2,2
7,-1,-1.7999999999999998,1,1,3.3000000000000007,4,3,-0.7999999999999998,10,1,6.800000000000001,-2,-2,-5.9,0,5,1,1.6000000000000005,-1,-3,1.0999999999999996,13,1,3.1000000000000005,3,0,0.8999999999999999,-2,1,0.9000000000000004,0,4,1
11,-4,-4.800000000000001,2,2,3.5,3,-1,4.400000000000001,-6,0,-1.5,-7,0,7.699999999999999,0,2,1,1.7999999999999998,-1,1,4.800000000000001,9,-1,-3.6000000000000005,8,2,-2.0999999999999996,-5,1,1.3000000000000003,0,3,0
15,0,0.8999999999999995,-4,-5,0.9000000000000004,-10,0,-4.999999999999999,2,0,-2.6999999999999993,-10,-2,-9.6,0,18,-2,1.799999999999999,-8,-1,-3.8000000000000007,-13,-7,-3.3,-16,-1,-6.800000000000001,2,-1,-0.9000000000000004,0,3,1
6,2,2.1000000000000005,7,0,-2.9000000000000004,4,0,0.09999999999999964,13,0,1.5,7,2,9.6,0,4,0,-3.6999999999999993,-1,5,-0.9000000000000004,10,1,-4.400000000000001,6,0,-0.8999999999999999,2,2,3.5999999999999996,0,0,1
1,1,-4.1,10,1,3.8000000000000007,13,1,-3.0,5,-2,2.0999999999999996,5,4,4.200000000000001,0,9,-1,-1.6000000000000005,1,0,-15.0,-1,1,-1.0999999999999996,10,0,2.6999999999999993,10,2,5.9,0,0,0
6,-3,-4.9,2,1,1.6000000000000005,-1,-3,1.0999999999999996,13,1,3.1000000000000005,3,0,0.8999999999999999,-2,15,0,0.8999999999999995,1,2,1.5999999999999996,-3,-1,-4.800000000000001,-9,-1,1.0999999999999996,-10,0,0.9000000000000004,2,1,1
