th,diffh1,xdiffh1,tdiffh1,diffh2,xdiffh2,tdiffh2,diffh3,xdiffh3,tdiffh3,diffh4,xdiffh4,tdiffh4,diffh5,xdiffh5,tdiffh5,ta,diffa1,xdiffa1,tdiffa1,diffa2,xdiffa2,tdiffa2,diffa3,xdiffa3,tdiffa3,diffa4,xdiffa4,tdiffa4,diffa5,xdiffa5,tdiffa5,diff
18,-1,-2.5,-2,-2,-1.5,-15,-3,-5.0,-4,0,4.75,-6,-4,-10.0,0,1,7,7.75,11,3,3.5,7,5,4.25,14,1,2.5,-5,0,4.75,0,-2
15,0,-4.0,-14,0,2.75,-1,0,-1.0,-1,0,6.5,2,-3,-2.0,0,7,0,-3.25,5,0,1.25,-2,1,3.75,1,-1,-2.5,5,2,0.75,0,0
10,0,2.25,5,-2,-1.0,-2,-1,-4.75,5,0,-2.0,5,4,3.75,0,2,0,4.0,14,2,1.5,15,1,-1.0,5,1,-0.25,9,1,6.25,0,2
4,2,-2.75,4,-1,-1.25,3,3,0.25,14,4,1.5,2,0,3.0,0,5,0,1.0,1,2,1.0,2,3,5.0,4,-2,2.5,9,1,-3.5,0,1
12,0,3.25,-5,-3,-3.5,-7,-1,1.0,-5,4,6.25,-12,-1,3.5,0,9,1,2.5,2,2,-5.0,-7,-5,-4.25,-14,-1,0.25,-9,-2,-0.75,0,6
8,-2,0.25,-5,0,1.0,9,1,-2.75,4,0,2.0,-5,0,-3.0,0,13,0,-2.25,-5,-2,1.25,3,0,1.0,1,0,-4.75,6,0,-2.75,0,1
16,-1,1.75,6,2,-1.25,-3,-1,2.75,-4,-4,-1.5,-2,0,-4.75,0,3,2,-0.25,5,1,1.25,-3,1,4.75,-5,-1,4.75,9,3,2.0,0,1
17,-7,-7.75,-11,-2,5.0,7,-1,-3.75,-1,2,-2.5,-9,-1,-6.25,0,14,-2,2.75,-4,0,-2.75,1,-1,1.5,-5,-4,-6.25,12,4,10.0,0,0
6,0,-1.0,-1,0,-1.25,2,1,-1.5,5,1,-4.75,-9,0,2.75,0,11,1,-1.75,-6,0,-1.0,-9,-3,-0.25,-14,0,-6.5,-2,-4,-3.75,0,3
7,0,0.75,8,0,-3.25,5,0,1.25,-2,1,3.75,1,-1,-2.5,5,18,-2,1.0,-17,-1,-2.5,-2,-2,-1.5,-15,-3,-5.0,-4,0,4.75,-6,2
4,-1,-3.25,13,2,-0.25,5,1,1.25,-3,1,4.75,-5,-1,4.75,9,15,-3,-5.25,-5,1,-1.75,-6,0,-1.0,-9,-3,-0.25,-14,0,-6.5,-2,1
12,-6,-5.5,3,1,2.5,2,2,-5.0,-7,-5,-4.25,-14,-1,0.25,-9,5,3,5.25,5,0,-1.0,-1,0,-1.25,2,1,-1.5,5,1,-4.75,-9,-1
13,0,-3.0,3,-2,2.75,-4,0,-2.75,1,-1,1.5,-5,-4,-6.25,12,9,2,0.5,-8,0,2.25,5,-2,-1.0,-2,-1,-4.75,5,0,-2.0,5,2
3,-2,-0.5,8,0,4.0,14,2,1.5,15,1,-1.0,5,1,-0.25,9,11,1,3.25,-13,-1,1.75,6,2,-1.25,-3,-1,2.75,-4,-4,-1.5,-2,-2
10,6,5.5,-3,0,3.25,-5,-3,-3.5,-7,-1,1.0,-5,4,6.25,-12,17,0,3.0,-3,-7,-7.75,-11,-2,5.0,7,-1,-3.75,-1,2,-2.5,-9,3
