th,lh1,lh2,lh3,lh4,lh5,ta,la1,la2,la3,la4,la5,diff
12.00, 0.99, 0.64, 1.15, 3.71,-2.62, 1.00,-0.83,-2.45,-1.28,-4.80, 1.56, 2.00
15.00,-3.67, 1.52, 1.29, 4.99,-0.19, 4.00,-4.99, 0.39, 0.98,-0.21, 0.36, 1.00
 7.00,-5.67, 2.45, 0.36,-3.66,-0.73,14.00, 4.99, 0.91, 0.86, 0.38, 0.19,-1.00
 6.00, 0.68,-0.51, 0.72,-0.38,-7.00,10.00, 0.54, 1.16,-0.98,-4.99, 0.76, 2.00
16.00,-0.54, 1.20, 1.28, 0.48, 0.73, 8.00, 3.67,-0.39, 0.92,-0.26,-1.47,-2.00
 9.00, 5.67, 1.39,-3.26,-0.48, 7.00, 2.00, 1.34,-6.90,-0.36,-3.71, 0.62, 3.00
13.00,-2.23, 1.09, 0.98, 4.80,-0.62,11.00, 2.61,-1.52, 1.00, 0.26, 1.26,-1.00
18.00, 0.83, 6.90, 3.26, 3.66, 2.62, 5.00, 1.00, 0.68, 1.29, 0.91, 1.62,-1.00
 3.00,-2.61, 0.81,-0.92, 1.09, 0.49,17.00, 2.23, 0.51,-1.29, 0.21, 1.47,-4.00
 8.00,-1.56, 0.54, 1.16,-0.98,-4.99,13.00, 5.12, 0.99, 0.64, 1.15, 3.71, 5.00
16.00, 3.56,-3.67, 1.52, 1.29, 4.99,10.00,-1.53,-2.23, 1.09, 0.98, 4.80, 2.00
 6.00, 0.12, 1.00, 0.68, 1.29, 0.91, 5.00,-0.70,-5.67, 2.45, 0.36,-3.66,-1.00
15.00, 0.70, 4.99, 0.91, 0.86, 0.38,11.00, 2.79, 5.67, 1.39,-3.26,-0.48, 0.00
 1.00,-5.12,-0.83,-2.45,-1.28,-4.80, 2.00,-2.79, 1.34,-6.90,-0.36,-3.71,-1.00
12.00, 1.53, 2.61,-1.52, 1.00, 0.26,14.00,-4.59,-0.54, 1.20, 1.28, 0.48, 2.00
 9.00, 4.59, 3.67,-0.39, 0.92,-0.26, 7.00, 1.56, 0.68,-0.51, 0.72,-0.38, 0.00
17.00, 3.22, 2.23, 0.51,-1.29, 0.21,18.00,-0.12, 0.83, 6.90, 3.26, 3.66,-4.00
 4.00,-3.56,-4.99, 0.39, 0.98,-0.21, 3.00,-3.22,-2.61, 0.81,-0.92, 1.09, 0.00
 8.00,-3.06,-1.53,-2.23, 1.09, 0.98, 3.00, 1.26,-3.56,-4.99, 0.39, 0.98, 3.00
18.00, 7.43,-0.12, 0.83, 6.90, 3.26,10.00, 3.15,-1.56, 0.54, 1.16,-0.98, 4.00
 2.00, 0.73,-3.22,-2.61, 0.81,-0.92,17.00, 3.06, 3.56,-3.67, 1.52, 1.29,-2.00
11.00, 0.96, 2.79, 5.67, 1.39,-3.26, 1.00,-0.44,-5.12,-0.83,-2.45,-1.28, 3.00
13.00,-0.68,-4.59,-0.54, 1.20, 1.28,15.00, 1.03, 0.70, 4.99, 0.91, 0.86,-2.00
 6.00, 0.58,-0.70,-5.67, 2.45, 0.36, 9.00, 1.96, 4.59, 3.67,-0.39, 0.92, 1.00
12.00,-3.15, 5.12, 0.99, 0.64, 1.15,16.00,-7.43, 3.22, 2.23, 0.51,-1.29, 0.00
 7.00, 0.00, 1.56, 0.68,-0.51, 0.72,14.00, 0.68, 1.53, 2.61,-1.52, 1.00, 0.00
 4.00, 0.44,-2.79, 1.34,-6.90,-0.36, 5.00,-0.58, 0.12, 1.00, 0.68, 1.29, 2.00
 8.00,-2.99, 3.15,-1.56, 0.54, 1.16, 9.00, 0.82, 0.58,-0.70,-5.67, 2.45, 2.00
 2.00,-0.97, 0.73,-3.22,-2.61, 0.81,12.00, 5.46,-3.06,-1.53,-2.23, 1.09,-1.00
17.00, 0.97, 3.06, 3.56,-3.67, 1.52,11.00, 1.22,-3.15, 5.12, 0.99, 0.64, 2.00
16.00, 0.49, 1.03, 0.70, 4.99, 0.91, 1.00,-1.12,-0.44,-5.12,-0.83,-2.45, 2.00
15.00, 0.79,-7.43, 3.22, 2.23, 0.51,10.00,-0.49,-0.68,-4.59,-0.54, 1.20,-2.00
14.00, 1.05, 0.68, 1.53, 2.61,-1.52,18.00, 2.99, 7.43,-0.12, 0.83, 6.90,-3.00
 4.00,-0.76,-0.58, 0.12, 1.00, 0.68,13.00, 1.12, 0.96, 2.79, 5.67, 1.39, 0.00
 3.00,-5.46, 1.26,-3.56,-4.99, 0.39, 6.00, 0.94, 0.00, 1.56, 0.68,-0.51, 3.00
 7.00,-0.82, 1.96, 4.59, 3.67,-0.39, 5.00, 0.76, 0.44,-2.79, 1.34,-6.90, 1.00
14.00, 0.81, 5.46,-3.06,-1.53,-2.23, 9.00, 2.94,-0.82, 1.96, 4.59, 3.67, 0.00
18.00, 2.02, 2.99, 7.43,-0.12, 0.83,16.00, 1.70, 0.49, 1.03, 0.70, 4.99, 1.00
 5.00,-2.94, 0.76, 0.44,-2.79, 1.34,10.00, 3.79,-2.99, 3.15,-1.56, 0.54, 2.00
 6.00,-4.89, 0.94, 0.00, 1.56, 0.68, 2.00,-0.81,-0.97, 0.73,-3.22,-2.61,-1.00
12.00, 1.68,-0.49,-0.68,-4.59,-0.54, 3.00, 4.89,-5.46, 1.26,-3.56,-4.99, 1.00
11.00, 1.07, 1.12, 0.96, 2.79, 5.67,17.00, 0.44, 0.97, 3.06, 3.56,-3.67, 1.00
 7.00,-3.79, 0.82, 0.58,-0.70,-5.67,15.00,-1.68, 0.79,-7.43, 3.22, 2.23, 0.00
 8.00,-0.44, 1.22,-3.15, 5.12, 0.99,13.00,-2.02, 1.05, 0.68, 1.53, 2.61, 0.00
 1.00,-1.70,-1.12,-0.44,-5.12,-0.83, 4.00, 0.90,-0.76,-0.58, 0.12, 1.00,-1.00
 3.00,-0.24, 4.89,-5.46, 1.26,-3.56,18.00, 5.88, 2.02, 2.99, 7.43,-0.12, 1.00
 2.00, 0.94,-0.81,-0.97, 0.73,-3.22,15.00, 0.24, 1.68,-0.49,-0.68,-4.59, 0.00
17.00,-2.38, 0.44, 0.97, 3.06, 3.56, 4.00,-0.94,-4.89, 0.94, 0.00, 1.56, 1.00
 9.00,-1.58, 3.79,-2.99, 3.15,-1.56,14.00, 2.38, 1.07, 1.12, 0.96, 2.79, 2.00
13.00, 0.74,-1.68, 0.79,-7.43, 3.22, 7.00, 1.58,-2.94, 0.76, 0.44,-2.79, 1.00
10.00, 0.55, 2.94,-0.82, 1.96, 4.59, 1.00,-0.35,-1.70,-1.12,-0.44,-5.12, 4.00
11.00, 0.66,-2.02, 1.05, 0.68, 1.53, 6.00, 1.30,-3.79, 0.82, 0.58,-0.70, 2.00
16.00,-5.88, 1.70, 0.49, 1.03, 0.70, 5.00, 0.35, 0.90,-0.76,-0.58, 0.12,-2.00
12.00, 1.40, 0.81, 5.46,-3.06,-1.53, 8.00, 1.36,-0.44, 1.22,-3.15, 5.12, 0.00
 3.00,-1.52,-0.94,-4.89, 0.94, 0.00,11.00, 0.79, 1.40, 0.81, 5.46,-3.06, 1.00
 6.00,-0.27, 1.58,-2.94, 0.76, 0.44,16.00,-0.56,-5.88, 1.70, 0.49, 1.03, 1.00
 7.00, 1.22, 1.36,-0.44, 1.22,-3.15,10.00, 5.46, 0.55, 2.94,-0.82, 1.96, 3.00
 1.00,-5.46,-0.35,-1.70,-1.12,-0.44, 9.00, 8.66,-1.58, 3.79,-2.99, 3.15,-3.00
 5.00,-3.09, 1.30,-3.79, 0.82, 0.58, 4.00, 0.18,-0.24, 4.89,-5.46, 1.26, 0.00
13.00, 0.96, 0.24, 1.68,-0.49,-0.68,17.00, 1.52,-2.38, 0.44, 0.97, 3.06,-2.00
18.00,-0.18, 5.88, 2.02, 2.99, 7.43, 2.00, 1.02, 0.94,-0.81,-0.97, 0.73, 1.00
 8.00, 0.56, 0.35, 0.90,-0.76,-0.58,14.00, 3.09, 0.66,-2.02, 1.05, 0.68, 1.00
12.00,-8.66, 2.38, 1.07, 1.12, 0.96,15.00, 0.27, 0.74,-1.68, 0.79,-7.43,-2.00
13.00,-3.97, 3.09, 0.66,-2.02, 1.05,11.00,-0.71,-8.66, 2.38, 1.07, 1.12, 1.00
 3.00, 1.36, 0.18,-0.24, 4.89,-5.46, 6.00, 0.20,-0.27, 1.58,-2.94, 0.76,-1.00
 2.00,-6.93, 1.02, 0.94,-0.81,-0.97, 9.00, 1.03, 1.22, 1.36,-0.44, 1.22, 0.00
14.00, 3.68, 8.66,-1.58, 3.79,-2.99, 7.00, 3.97, 0.56, 0.35, 0.90,-0.76, 1.00
16.00, 0.71, 0.27, 0.74,-1.68, 0.79, 1.00,-3.68,-5.46,-0.35,-1.70,-1.12, 6.00
10.00,-0.25, 0.79, 1.40, 0.81, 5.46,12.00,-0.48, 0.96, 0.24, 1.68,-0.49, 3.00
17.00, 0.48, 1.52,-2.38, 0.44, 0.97,18.00, 6.93,-0.18, 5.88, 2.02, 2.99,-1.00
 4.00, 0.25,-1.52,-0.94,-4.89, 0.94, 5.00, 0.64,-3.09, 1.30,-3.79, 0.82, 0.00
 8.00,-1.03, 5.46, 0.55, 2.94,-0.82,15.00,-0.20,-0.56,-5.88, 1.70, 0.49,-6.00
10.00, 0.53, 1.03, 1.22, 1.36,-0.44, 3.00,-0.24, 1.36, 0.18,-0.24, 4.89,-2.00
18.00, 2.23, 6.93,-0.18, 5.88, 2.02,12.00, 0.51,-0.25, 0.79, 1.40, 0.81, 1.00
 9.00, 0.24, 0.20,-0.27, 1.58,-2.94,17.00,-2.23, 0.48, 1.52,-2.38, 0.44, 0.00
15.00, 0.23,-0.20,-0.56,-5.88, 1.70,14.00, 0.29, 3.68, 8.66,-1.58, 3.79,-1.00
 5.00, 1.19, 0.64,-3.09, 1.30,-3.79, 2.00, 1.52,-6.93, 1.02, 0.94,-0.81, 2.00
 8.00,-0.98,-0.71,-8.66, 2.38, 1.07, 6.00,-0.23,-1.03, 5.46, 0.55, 2.94, 3.00
11.00,-0.51,-0.48, 0.96, 0.24, 1.68, 4.00, 0.81, 0.25,-1.52,-0.94,-4.89,-2.00
 1.00,-2.34,-3.68,-5.46,-0.35,-1.70,13.00, 0.98,-3.97, 3.09, 0.66,-2.02, 1.00
 7.00,-0.29, 3.97, 0.56, 0.35, 0.90,16.00, 2.34, 0.71, 0.27, 0.74,-1.68, 3.00
 4.00, 0.66, 0.81, 0.25,-1.52,-0.94,18.00, 4.70, 2.23, 6.93,-0.18, 5.88,-5.00
 2.00,-4.61, 1.52,-6.93, 1.02, 0.94, 9.00, 0.03, 0.24, 0.20,-0.27, 1.58, 2.00
11.00,-4.70, 0.51,-0.25, 0.79, 1.40, 5.00, 4.61, 1.19, 0.64,-3.09, 1.30, 4.00
 8.00,-0.66,-0.51,-0.48, 0.96, 0.24, 7.00,-0.78, 0.53, 1.03, 1.22, 1.36,-1.00
 6.00,-4.66,-0.23,-1.03, 5.46, 0.55,10.00, 2.73,-0.29, 3.97, 0.56, 0.35,-1.00
 3.00, 0.78,-0.24, 1.36, 0.18,-0.24,12.00, 4.66,-0.98,-0.71,-8.66, 2.38, 0.00
17.00, 1.82,-2.23, 0.48, 1.52,-2.38, 1.00, 0.25,-2.34,-3.68,-5.46,-0.35, 3.00
16.00,-2.73, 2.34, 0.71, 0.27, 0.74,15.00, 0.76, 0.29, 3.68, 8.66,-1.58, 0.00
